,mobile,rates
0,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,499"
1,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹11,499"
2,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹11,499"
3,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,249"
4,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,499"
5,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,249"
6,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,249"
7,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹10,499"
8,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹10,499"
9,"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹10,285"
10,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹10,499"
11,SAMSUNG Guru Music 2 SM-B315E,"₹1,995"
12,"SAMSUNG Galaxy M52 5G (Icy Blue, 128 GB)","₹24,445"
13,"SAMSUNG Galaxy M32 (Black, 128 GB)","₹15,289"
14,SAMSUNG GT-E1215,"₹1,496"
15,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,249"
16,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹15,249"
17,"SAMSUNG Galaxy M32 (Light Blue, 128 GB)","₹15,189"
18,SAMSUNG GURU MUSIC 2,"₹1,995"
19,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹16,940"
20,SAMSUNG GURU GT,"₹1,495"
21,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)","₹11,499"
22,"SAMSUNG Galaxy M12 (Black, 128 GB)","₹13,175"
23,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹11,499"
